citric acid,chlorides,free sulfur dioxide,total sulfur dioxide,pH,alcohol,quality
0.05,0.084,13,29,3.22,9.9,6
0.11,0.09,16,63,3.19,9.6,5
0.15,0.089,10,52,3.23,9.5,5
0.36,0.081,13,45,3.48,9.2,5
0.19,0.081,15,105,3.33,9.5,5
0.19,0.081,17,108,3.32,9.5,5
0.11,0.09,16,63,3.19,9.6,5
0.15,0.089,10,52,3.23,9.5,5
0,0.05,27,63,3.68,14,6
0.08,0.066,3,20,3.34,9.4,5
0,0.05,27,63,3.68,14,6
0.55,0.117,32,141,3.17,9.4,5
0.02,0.087,21,94,3.54,10,5
0.26,0.236,10,88,3.11,9.3,5
0.1,0.074,12,30,3.42,10.2,6
0.44,0.089,11,43,3.53,10.5,6
0.47,0.077,5,11,3.33,10.3,6
1,0.61,32,69,2.74,9.4,4
0.03,0.095,25,99,3.35,10.1,5
0.03,0.095,25,99,3.35,10.1,5
0.42,0.07,29,129,3.42,10.5,5
0.42,0.071,28,128,3.42,10.5,5
0.42,0.07,29,129,3.42,10.5,5
0.42,0.071,28,128,3.42,10.5,5
0,0.073,12,22,3.48,9.3,5
0.18,0.079,18,86,3.59,9.3,6
0.03,0.09,7,20,3.2,9.6,5
0.02,0.072,9,20,3.17,9.2,4
0.04,0.076,17,31,3.33,10,6
0.26,0.07,36,121,3.37,9.4,5
0.26,0.07,35,121,3.37,9.4,5
0.48,0.1,14,96,3.19,9.5,5
0.1,0.085,18,101,3.34,10.2,5
0.03,0.072,17,42,3.37,9,4
0.07,0.089,11,44,3.47,10.4,6
0.24,0.36,15,63,3,9.5,5
0.03,0.058,4,8,3.36,9.1,4
0.17,0.073,6,18,3.29,9.2,6
0.17,0.073,6,18,3.29,9.2,6
0.05,0.068,24,42,3.42,11.5,6
0.21,0.08,7,35,3.33,9.5,5
0.04,0.085,19,49,3.35,9.5,5
0.21,0.08,7,35,3.33,9.5,5
0.42,0.087,8,38,3.58,10.5,6
0,0.068,7,20,3.48,9.6,5
0.14,0.067,10,42,3.19,9.5,5
0.14,0.067,10,42,3.19,9.5,5
0.49,0.27,23,110,3.12,9.3,5
0.02,0.076,16,42,3.44,9.3,5
0.2,0.077,11,65,3.54,9.3,5
0.21,0.079,8,62,3.52,9.3,6
0.57,0.111,26,85,3.26,9.7,5
0.48,0.082,14,67,3.34,9.2,5
0.1,0.084,9,26,3.39,9.7,5
0.33,0.084,15,143,3.2,9.5,5
0.32,0.082,17,144,3.2,9.5,5
0.35,0.077,21,127,3.23,9.4,5
0.25,0.074,21,49,3.57,9.8,6
0.12,0.099,16,126,3.28,9.5,5
0.21,0.071,7,28,3.28,9.7,5
0.21,0.071,7,28,3.28,9.7,5
0.33,0.074,24,120,3.25,9.4,5
0.3,0.074,15,55,3.46,10.2,5
0.6,0.067,12,27,3.11,10.1,6
0.08,0.046,13,93,3.57,13,7
0.06,0.061,12,31,3.51,11.4,4
0.47,0.056,9,24,3.22,10.3,7
0.48,0.097,39,145,3.04,9.3,5
0.11,0.075,16,49,3.36,9.5,5
0.35,0.088,16,39,3.34,9.2,5
0.36,0.089,14,37,3.34,9.2,6
0.74,0.095,9,28,3.2,10.8,7
0.74,0.095,9,28,3.2,10.8,7
0.31,0.069,26,120,3.29,9.3,5
0.28,0.1,18,95,3.22,9.4,5
0.58,0.054,7,19,3.31,10.5,7
0.6,0.039,5,19,3.3,12.4,6
0.24,0.083,10,62,3.35,10,6
0.64,0.059,5,15,3.21,10.2,6
0.26,0.06,28,65,3.3,10.1,5
0.08,0.092,10,41,3.24,9.8,6
0.49,0.06,26,121,3.34,10.5,5
0.16,0.101,13,49,3.14,11,5
0.22,0.072,11,41,3.36,9.1,5
0.19,0.076,10,44,3.39,9.7,5
0.33,0.08,24,144,3.3,9.5,5
0.37,0.082,24,58,3.34,9.4,6
0.26,0.101,16,72,3.15,9.4,5
0.04,0.057,5,10,3.42,9.5,5
0.25,0.083,8,28,3.28,10,6
0.36,0.089,15,55,3.31,10.4,4
0.25,0.073,29,63,3.37,10.5,6
0.5,0.337,27,81,3.04,9.5,6
0.14,0.089,9,23,3.39,9.8,5
0.25,0.073,29,63,3.37,10.5,6
0.25,0.081,10,37,3.46,11,5
0.04,0.054,19,106,3.54,12.2,7
0.06,0.078,12,49,3.37,9.9,6
0.2,0.09,18,58,3.34,9.6,6
0.25,0.081,10,37,3.46,11,5
0.09,0.065,7,37,3.32,9,6
0,0.097,14,38,3.37,9,6
0,0.097,14,38,3.37,9,6
0,0.097,15,39,3.37,9.2,6
0,0.097,14,38,3.37,9,6
0.09,0.065,7,37,3.32,9,6
0.37,0.263,5,62,3,9.3,5
0.56,0.093,6,24,3.14,10.9,6
0.1,0.102,28,109,3.08,9.8,6
0.44,0.075,10,24,3.07,9.2,7
0.44,0.075,10,24,3.07,9.2,7
0,0.084,6,23,3.61,9.9,6
0.07,0.075,16,51,3.38,9.5,5
0.17,0.072,11,73,3.2,9.3,5
0.06,0.074,9,39,3.35,9.8,6
0,0.084,6,23,3.61,9.9,6
0.44,0.063,16,37,3.22,10,6
0,0.074,16,34,3.47,9.9,6
0.48,0.09,5,21,3.17,10.5,5
0.42,0.092,8,86,3.23,9.5,5
0,0.074,16,34,3.47,9.9,6
0.23,0.073,17,119,3.26,9.3,5
0.37,0.075,5,13,3.22,9.2,5
0,0.075,12,56,3.49,9.2,5
0.76,0.611,8,45,3.06,9.4,5
0.47,0.085,14,33,3.36,10.5,7
0.23,0.077,18,45,3.29,9.3,5
0.04,0.087,12,67,3.35,9.4,4
0.03,0.07,10,35,3.34,10,5
0.23,0.077,23,49,3.28,9.3,5
0.49,0.064,5,27,3.08,10.9,5
0.52,0.071,6,10,3.2,10.2,7
0,0.096,26,61,3.6,9.8,4
0.46,0.078,15,37,3.35,12.8,8
0.04,0.077,7,27,3.69,9.4,6
0.51,0.104,4,23,3.28,10.1,6
0.06,0.087,27,61,3.36,10.7,6
0.51,0.104,4,23,3.28,10.1,6
0.58,0.071,17,65,3.22,10.1,5
0.2,0.076,10,38,3.31,9.4,5
0.18,0.088,27,94,3.38,9.4,5
0.06,0.087,27,61,3.36,10.7,6
0.04,0.077,7,27,3.69,9.4,6
0.51,0.104,4,23,3.28,10.1,6
0.45,0.073,5,13,3.23,12.6,8
0.32,0.087,10,47,3.38,10.5,7
0.44,0.071,6,19,3.12,9.3,6
0.68,0.358,5,10,3.25,9.9,7
0.12,0.067,12,53,3.36,9.1,5
0.32,0.087,10,47,3.38,10.5,7
0.07,0.102,32,71,3.31,9.8,5
0.07,0.102,32,71,3.31,9.8,5
0.55,0.073,25,49,3.1,10.3,6
0.12,0.092,29,53,3.37,10.3,6
0.09,0.091,20,49,3.34,10.6,7
0.53,0.105,33,98,3.2,9.2,5
0.09,0.091,20,49,3.34,10.6,7
0.48,0.343,6,18,3.3,10.5,5
0.23,0.091,18,48,3.22,10.3,6
0.25,0.098,5,16,3.41,10.1,6
0.52,0.094,17,53,3.05,9.5,6
0.46,0.073,5,27,3.05,9.5,5
0.37,0.086,26,70,3.16,9.9,5
0.06,0.083,8,29,3.67,9.6,5
0.02,0.094,5,31,3.67,9.7,5
0.06,0.08,8,33,3.68,9.6,5
0.06,0.086,20,44,3.38,10.7,6
0.48,0.068,7,15,3.22,10.1,6
0.12,0.092,12,28,3.51,10,5
0.12,0.186,5,21,3.39,9.5,5
0.6,0.112,12,90,3.2,9.2,5
0.48,0.063,6,25,3.12,9.3,6
0.32,0.082,7,54,3.36,9.4,5
0.42,0.213,6,14,3.19,9.5,6
0.44,0.214,5,12,3.19,9.5,6
0.38,0.062,9,30,3.41,9.5,6
0.48,0.063,6,25,3.12,9.3,6
0.24,0.072,15,105,3.27,9.4,6
0.31,0.093,19,98,3.32,9.5,6
0.3,0.076,30,135,3.3,9.4,5
0.29,0.087,26,72,3.39,11,5
0.29,0.096,20,53,3.42,11,6
0.23,0.102,37,92,3.3,10.1,5
0.12,0.082,30,74,3.3,10.4,6
0.39,0.083,21,59,3.37,11.5,7
0.12,0.082,30,74,3.3,10.4,6
0.39,0.083,21,59,3.37,11.5,7
0.26,0.09,25,87,3.24,9.7,5
0.05,0.079,6,18,3.29,9.3,5
0.42,0.09,35,73,3.28,9.5,6
0.2,0.071,13,50,3.16,9.2,6
0.2,0.071,13,50,3.16,9.2,6
0.66,0.121,6,14,3.05,11.5,7
0.5,0.107,5,13,3.28,11.5,5
0.62,0.082,6,21,3.16,9.7,6
0.39,0.061,7,15,3.18,9.5,5
0.64,0.122,10,41,3.23,12.5,6
0.64,0.122,10,41,3.23,12.5,6
0.28,0.066,21,114,3.22,9.4,6
0.08,0.105,16,44,3.13,11,5
0.01,0.078,17,38,3.34,11.7,7
0.53,0.128,7,21,3.17,12.2,7
0.45,0.052,6,16,3.35,12.5,6
0.32,0.08,29,58,3.31,10.3,5
0.58,0.103,28,99,3.16,11.5,6
0.54,0.082,12,29,3.11,9.8,7
0.5,0.066,10,21,3.12,9.2,6
0.48,0.065,5,18,3.21,11.3,6
0.47,0.118,6,14,3.3,9.8,6
0.47,0.118,6,14,3.3,9.8,6
0.5,0.082,6,32,3.12,10.7,6
0,0.067,40,63,3.6,9.9,5
0.02,0.072,17,34,3.58,12.3,7
0.67,0.093,6,15,3.02,12,6
0.31,0.089,15,46,3.11,10,6
0,0.093,11,28,3.36,9.4,6
0.22,0.107,17,34,3.28,9.9,6
0,0.096,11,26,3.35,9.4,6
0,0.09,8,19,3.27,9.3,5
0.79,0.12,23,77,3.18,13,5
0.4,0.066,40.5,165,3.25,11.9,6
0.01,0.078,17,32,3.55,12.8,6
0.52,0.08,29,55,3.26,11,5
0.66,0.116,12,29,3.24,11.7,7
0.66,0.109,10,23,3.15,10.4,7
0.66,0.088,10,41,3.17,9.8,6
0.23,0.099,14,81,3.19,9.4,5
0.31,0.086,21,50,3.37,9.9,6
0.66,0.072,6,37,3.05,10,5
0.63,0.071,6,15,2.99,10.2,5
0.66,0.083,7,42,3.07,10,7
0.5,0.107,7,21,3.26,11.8,6
0.66,0.083,7,42,3.07,10,7
0.61,0.076,11,24,3.16,9,5
0.52,0.159,15,75,3.18,9.4,5
0.53,0.074,6,18,3.2,12,7
0.02,0.063,35,63,3.57,9.9,5
0.4,0.056,11,25,3.32,8.7,6
0.48,0.067,26,46,3.32,10.6,6
0.22,0.106,12,72,3.05,9.2,5
0.63,0.089,6,47,3.01,10.8,6
0.71,0.124,6,15,3.01,11.8,7
0.5,0.078,19,47,3.26,11,6
0.53,0.074,6,18,3.2,12,7
0.66,0.088,6,24,3.11,13.3,6
0.38,0.094,24,60,3.31,10.8,6
0.42,0.08,11,27,3.21,9.4,6
0.68,0.085,17,43,3.06,10,6
0.42,0.08,11,27,3.21,9.4,6
0.42,0.08,11,27,3.21,9.4,6
0.28,0.087,23,54,3.42,9.2,5
0.07,0.09,11,37,3.43,9.7,6
0.26,0.088,23,48,3.41,9.2,6
0.15,0.079,17,42,3.31,9.6,6
0.26,0.088,23,53,3.43,9.2,6
0.31,0.096,16,49,3.19,10,7
0.05,0.045,12,88,3.56,12.9,8
0.68,0.085,17,43,3.06,10,6
0.52,0.082,6,26,3.18,9.5,5
0.61,0.112,13,95,3.16,9.1,5
0.65,0.063,6,25,3.03,9.9,5
0.76,0.066,7,38,3.22,13,7
0.02,0.122,68,124,3.47,9.9,5
0.59,0.087,13,49,3.18,11,6
0.59,0.087,13,49,3.18,11,6
0.22,0.064,9,42,3.1,9.4,5
0.02,0.122,68,124,3.47,9.9,5
0.3,0.059,20,38,3.29,10.8,6
0.54,0.085,19,64,3.1,10.5,6
0.49,0.085,10,41,3.15,10.5,6
0.05,0.075,15,27,3.26,9.1,5
0.46,0.059,11,25,3.36,10.1,6
0.47,0.063,9,28,3.24,10.8,6
0.66,0.093,12,30,3.18,10.8,7
0.58,0.174,6,16,3.19,11.3,6
0.49,0.07,26,49,3.05,9.6,4
0.34,0.08,26,86,3.38,9.5,6
0.35,0.08,23,78,3.38,9.5,5
0.16,0.1,15,77,3.27,9.3,5
0.53,0.097,6,19,3.27,11.7,7
0.34,0.087,24,122,3.26,9.5,5
0.24,0.117,31,134,3.32,9.3,5
0.64,0.111,6,20,3.26,11.7,6
0.12,0.091,34,124,3.44,10.5,5
0.51,0.121,7,20,3.24,10.4,6
0,0.066,34,52,3.62,9.9,5
0.33,0.089,35,67,3.28,11.8,7
0.03,0.059,32,48,3.52,12.3,7
0.2,0.047,15,60,3.36,10.9,5
0.47,0.066,6,24,3.15,11,7
0.2,0.047,15,60,3.36,10.9,5
0.03,0.059,32,48,3.52,12.3,7
0.08,0.045,19,48,3.49,11.4,6
0.22,0.077,6,32,3.26,10.6,6
0.33,0.07,9,30,3.24,9.3,5
0.63,0.088,13,35,3.1,10.4,6
0.47,0.066,6,24,3.15,11,7
0.35,0.074,21,66,3.25,9.2,5
0.69,0.078,12,24,3,12.8,6
0.63,0.091,6,18,3.16,9.5,5
0.55,0.076,22,54,3.15,9.9,6
0.63,0.091,6,18,3.16,9.5,5
0.3,0.06,38,62,3.26,10.2,6
0.73,0.066,6,22,3.17,11.2,6
0.55,0.076,22,54,3.15,9.9,6
0.18,0.062,7,50,3.08,9.3,5
0.72,0.072,6,29,2.88,9.8,8
0.65,0.068,7,27,3.06,11.3,6
0.76,0.1,6,43,2.95,11.2,7
0.49,0.077,11,19,3.23,11.6,7
0.01,0.054,5,27,3.57,12.5,7
0.1,0.079,6,31,3.23,10.1,6
0.6,0.081,31,72,3.1,10.5,5
0.29,0.127,6,16,3.22,11.2,5
0.22,0.1,7,27,3.2,10.2,6
0.69,0.095,17,35,3.1,10.8,6
0.69,0.095,17,35,3.1,10.8,6
0.53,0.413,9,26,3.06,9.1,6
0.03,0.084,18,35,3.44,10,6
0.63,0.084,5,22,3.26,11.2,7
0.4,0.063,21,67,3.5,11.1,5
0.67,0.086,6,19,3.22,13.4,8
0.39,0.095,5,22,3.37,10.3,5
0.21,0.097,29,65,3.28,9.6,5
0.63,0.084,5,22,3.26,11.2,7
0.66,0.074,10,47,3.25,9,3
0.52,0.083,14,23,3.35,11.3,6
0.22,0.087,6,19,3.26,9.3,5
0.68,0.085,10,25,3.18,11.8,5
0.7,0.098,25,129,3.08,9,5
0.54,0.084,5,15,2.98,9.2,6
0.4,0.098,10,26,3.48,9.7,5
0.42,0.069,21,51,3.16,11.5,6
0.45,0.065,7,18,3.32,14,6
0.69,0.09,6,21,3.17,9.2,6
0.02,0.07,36,48,3.2,9.8,5
0.65,0.093,15,47,3.05,10.6,5
0.42,0.081,25,52,3.2,11.4,6
0.55,0.083,25,68,3.15,10.4,6
0.55,0.062,5,14,3.26,10.6,5
0.51,0.08,10,24,3.2,9.4,6
0.24,0.087,5,28,3.14,10.2,5
0.41,0.091,6,16,3.28,9.7,5
0.49,0.075,6,20,3.18,11,6
0.24,0.087,5,28,3.14,10.2,5
0.11,0.077,6,31,3.19,10.1,6
0.39,0.069,6,23,3.12,9.2,5
0.56,0.08,6,17,3.15,11.7,8
0.59,0.152,6,18,3.04,9.4,5
0.6,0.152,7,18,3.04,9.4,5
0.68,0.114,6,24,3.06,13.4,6
0.39,0.054,6,17,3.17,10,5
0.39,0.054,6,17,3.17,10,5
0.36,0.053,5,14,3.17,10,6
0.55,0.081,35,67,3.32,10.8,7
0.4,0.073,10,26,3.34,10.2,6
0.27,0.078,24,56,3.31,10.6,6
0.5,0.055,12,25,3.34,13.3,7
0.51,0.052,13,27,3.32,13.4,7
0.31,0.086,23,81,3.48,11.6,6
0.23,0.051,28,91,3.44,12.1,6
0.53,0.07,5,16,3.15,11,8
0.25,0.081,14,38,3.43,9,6
0.32,0.09,43,113,3.32,11.1,5
0.53,0.07,5,16,3.15,11,8
0.31,0.086,23,81,3.48,11.6,6
0.25,0.081,14,38,3.43,9,6
0.73,0.074,38,76,3.17,12,7
0.73,0.074,38,76,3.17,12,7
0.47,0.078,6,24,3.18,10.9,7
0.42,0.077,6,22,3.21,10.8,7
0.63,0.072,10,26,3.16,12.5,7
0.46,0.075,6,21,3.25,10.8,7
0.55,0.084,6,13,3.17,9.5,6
0.31,0.09,26,62,3.18,10.2,6
0.75,0.084,23,43,3.04,11.4,7
0.49,0.073,19,43,3.02,9.5,5
0.31,0.09,26,62,3.18,10.2,6
0.48,0.125,15,49,3.03,9.7,6
0.64,0.107,6,15,3.09,11.8,7
0.64,0.107,6,15,3.09,11.8,7
0.49,0.122,34,151,3.31,9.3,5
0.49,0.1,5,14,3.25,11.9,6
0.49,0.2,5,16,3.16,8.4,3
0.49,0.088,11,32,3.22,11.7,6
0.49,0.088,39,106,3.36,11,5
0.49,0.088,15,33,3.42,10,6
0.49,0.088,16,43,3.48,9.1,5
0.49,0.099,47,133,3.38,9.8,5
0.49,0.085,38,142,3.22,9.4,5
0.49,0.086,23,116,3.23,9.5,5
0.24,0.105,29,53,3.24,9.9,5
0.49,0.088,39,106,3.36,11,5
0.49,0.097,33,85,3.39,11.4,6
0.49,0.084,32,55,3.34,8.7,6
0.24,0.077,6,33,3.09,9.4,5
0.24,0.078,1,28,3.41,10.3,6
0.49,0.098,12,42,3.16,10.3,5
0.49,0.098,12,42,3.16,10.3,5
0.24,0.072,15,33,3.22,12.8,6
0.24,0.102,13,32,3.28,10,6
0.24,0.078,1,28,3.41,10.3,6
0.24,0.077,6,33,3.09,9.4,5
0.24,0.084,5,13,3.37,10.7,6
0.49,0.066,5,35,3.2,12,7
0.74,0.1,5,17,3.22,11.2,5
0.24,0.101,20,47,3.26,9.6,5
0.49,0.064,5,17,3.21,11,6
0.24,0.07,5,20,3.12,9.9,5
0.24,0.085,16,53,3.06,11,6
0.74,0.075,6,15,2.86,8.4,6
0.49,0.094,38,106,3.08,9.1,5
0.24,0.078,10,28,3.45,9.5,6
0.49,0.067,6,21,3.26,10.7,6
0.49,0.079,27,69,3.12,10.4,6
0.49,0.171,6,25,3.27,9.4,6
0.01,0.074,9,25,3.33,9.5,6
0.24,0.092,14,45,3.19,10,6
0.24,0.092,14,44,3.12,10,6
0.24,0.05,32,96,3.74,11.5,5
0.49,0.095,10,23,2.92,11.1,5
0.49,0.095,10,23,2.92,11.1,5
0.49,0.118,10,17,3.07,11.7,6
0.49,0.095,10,23,2.92,11.1,5
0.49,0.118,10,17,3.07,11.7,6
0.49,0.085,6,47,3.3,12.7,6
0.49,0.075,5,19,3.14,11.4,5
0.49,0.078,26,121,3.23,9.2,5
0.49,0.094,41,110,3.08,9.2,5
0.49,0.092,25,60,3.31,10.1,6
0.49,0.085,6,47,3.3,12.7,6
0.49,0.075,5,19,3.14,11.4,5
0.24,0.226,5,15,3.32,9,6
0.24,0.226,5,15,3.32,9,6
0.49,0.25,5,20,3.31,10.7,6
0.24,0.095,19,42,3.57,11.7,6
0.49,0.07,10,37,3.32,11,6
0.24,0.095,19,42,3.57,11.7,6
0.49,0.075,10,28,3.14,10.4,5
0.49,0.07,14,47,3.3,9.6,4
0.49,0.078,20,78,3.19,10,6
0.49,0.079,28,46,3.2,10.2,6
0.24,0.103,6,14,3.34,10,4
0.49,0.083,18,111,3.3,9.5,5
0.49,0.085,17,110,3.29,9.8,5
0.49,0.063,18,40,3.14,9.8,6
0.49,0.089,5,14,3.19,9.6,5
0.49,0.089,5,14,3.19,9.6,5
0.49,0.083,5,15,3.19,9.2,5
0.49,0.074,10,21,2.98,9.9,7
0.49,0.093,54,80,3.3,10.7,7
0.24,0.091,8,38,3.47,9.6,6
0.49,0.094,16,47,3.12,10.6,7
0.24,0.108,18,102,3.26,9.3,5
0.24,0.06,19,50,3.72,14,8
0.49,0.059,5,13,3.05,10.5,7
0.49,0.084,21,75,3.35,9.7,5
0.49,0.07,23,149,3.12,11.5,6
0.49,0.084,21,75,3.35,9.7,5
0.58,0.094,9,43,3.29,9,5
0.17,0.096,20,38,3.4,9.5,5
0.41,0.086,30,109,3.27,9.3,5
0.51,0.059,6,24,3.04,9.3,6
0.58,0.071,5,18,3.09,10,6
0.18,0.078,5,30,3.2,9.8,6
0.45,0.082,11,22,3,9.3,6
0.27,0.088,7,23,3.26,10,4
0.52,0.071,12,35,3.1,9,6
0,0.081,6,14,3.3,9.3,5
0.52,0.071,12,35,3.1,9,6
0.13,0.096,14,63,3.17,9.1,6
0.13,0.085,6,24,3.31,9.2,6
0.48,0.072,10,20,3.34,12.2,7
0.41,0.092,26,52,3.31,10.5,6
0.37,0.11,11,65,3.32,10.4,6
0.19,0.075,15,39,3.56,12.7,6
0.54,0.083,25,57,3.39,9.2,5
0.55,0.081,5,16,2.98,9.4,5
0,0.077,18,29,3.32,10,6
0.38,0.058,10,29,3.26,9.8,5
0.18,0.148,10,103,2.87,10.2,6
0.5,0.079,28,71,3.5,9.7,5
0.5,0.079,28,71,3.5,9.7,5
0.51,0.079,14,28,3.03,9.8,6
0.5,0.122,4,17,3.13,10.2,5
0.41,0.088,6,16,3.09,9.3,5
0.24,0.076,16,112,3.27,9.4,5
0.23,0.078,14,104,3.28,9.4,5
0.22,0.08,9,32,3.13,9.5,5
0.25,0.077,21,45,3.49,12.1,6
0,0.124,21,58,3.46,10.2,5
0,0.124,21,58,3.46,10.2,5
0.29,0.098,5,15,3.36,9.1,5
0.29,0.098,5,15,3.36,9.1,5
0.26,0.097,7,31,3.27,9.3,6
0.23,0.111,20,84,3.21,9.3,5
0.26,0.097,7,31,3.27,9.3,6
0.54,0.105,5,19,3.25,9.5,5
0.14,0.087,21,43,3.32,10.5,6
0.22,0.105,11,86,3.43,11.3,4
0.21,0.073,46,102,3.27,9.5,5
0,0.065,24,33,3.27,9.7,5
0.28,0.086,30,147,3.24,9.4,5
0.27,0.084,31,145,3.24,9.4,5
0.12,0.143,7,23,3.35,10.2,7
0.35,0.067,25,57,3.18,10.3,6
0.45,0.071,16,40,3.39,9.4,5
0.44,0.071,21,68,3.46,9.5,5
0.45,0.071,16,40,3.39,9.4,5
0.44,0.071,21,68,3.46,9.5,5
